#IXO 3.2 m diameter 20 m focal length prescription file,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#"P Reid June 7, 2008",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#"Use Shells 73-172 (outer module); 185-302 (middle module), and 321-461 (inner module).",,,,,,,,,,,,,,,,,
#"Outer module also missing shells 85, 99, 113,...,169 (left off for weight savings)",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Prescription forms:,,,,,,,,,,,,,,,,,
#,primary - ,r^2 = (d+a+z)^2 - (a+z)^2,,,,,,,,,,,,,,,
#,secondary - ,r^2 = e^2 * (d+z)^2 - z^2,,,,,,,,,,,,,,,
## Note: For the primary, r = r(z), and z runs from 20025 to 20225.  Then
##  r_int = r(20025) 
##  r_aft = r(20225)
#,,,,,,,,,,,,,,,,,
#,"where z=axial direction, z= 0 at nominal on-axis focus, P runs from Z = 20025 mm to 20225 mm,
## and S runs from Z = 19975 mm to 19775 mm",,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
shell,r_int (mm),r_aft (mm),r_for (mm),alpha (rad),graze (rad),d (mm),e,a (mm),ca (cm^2),graze (rad),rh forward,rh aft,Weight (kg),h graze (rad)
170,1175.263141,1175.629958,1178.560384,0.014673915,0.014651079,17.246948855,1.000861976,20034.5013277305,216.73205809799,0.014651079,1174.161829,1165.347160,2.960935,0.044044841
171,1171.360366,1171.725968,1174.646683,0.014625297,0.014602537,17.132715080,1.000856269,20034.2727621297,215.296550786085,0.014602537,1170.262707,1161.477280,2.951102,0.043898912
172,1167.467465,1167.831854,1170.742883,0.014576802,0.014554117,17.019147237,1.000850595,20034.0455296035,213.869411845821,0.014554117,1166.373451,1157.617192,2.941295,0.043753350
173,1163.584413,1163.947592,1166.848960,0.014528428,0.014505819,16.906241744,1.000844955,20033.8196229769,212.450596246338,0.014505819,1162.494033,1153.766870,2.931512,0.043608152
#174,1159.711184,1160.073157,1162.964887,0.014480175,0.014457641,16.793995037,1.000839347,20033.5950351187,211.04005923394,0.014457641,1158.624431,1149.926289,2.921753,0.043463319
#175,1155.847754,1156.208524,1159.090640,0.014432044,0.014409584,16.682403570,1.000833772,20033.3717589061,209.637756219748,0.014409584,1154.764617,1146.095424,2.912020,0.043318848
#176,1151.994097,1152.353667,1155.226194,0.014384033,0.014361648,16.571463817,1.000828230,20033.1497872884,208.24364291444,0.014361648,1150.914568,1142.274251,2.902311,0.043174740
#177,1148.150189,1148.508561,1151.371523,0.014336142,0.014313832,16.461172270,1.000822720,20032.9291132206,206.857675215975,0.014313832,1147.074258,1138.462744,2.892627,0.043030994
#178,1144.316003,1144.673181,1147.526602,0.014288372,0.014266135,16.351525439,1.000817242,20032.709729722,205.479809269461,0.014266135,1143.243663,1134.660878,2.882967,0.042887607
#179,1140.491517,1140.847503,1143.691407,0.014240721,0.014218559,16.242519850,1.000811796,20032.491629834,204.110001444742,0.014218559,1139.422756,1130.868630,2.873332,0.042744581
